event_id,detector,x_cm,y_cm,z_cm,deposit_keV,time_s
6051,3,0.0,0.0,2.97163,511.0,0.0
6056,3,0.0,0.0,3.02612,379.55369,0.0
6108,3,0.0,0.0,2.96037,149.75614,0.0
6157,3,0.0,0.0,2.9835,132.56475,0.0
6194,3,0.0,0.0,3.01207,511.0,0.0
6231,3,0.0,0.0,2.96974,198.87244,0.0
6234,3,0.0,0.0,3.02395,511.0,0.0
6283,3,0.0,0.0,2.96557,91.7219,0.0
6319,3,0.0,0.0,3.02793,236.22949,0.0
6335,3,0.0,0.0,2.97177,504.53705,0.0
6376,3,0.0,0.0,3.00432,123.43898,0.0
6380,3,0.0,0.0,2.9514,63.42888,0.0
6475,3,0.0,0.0,2.97019,226.23609,0.0
6477,3,0.0,0.0,2.97592,283.90236,0.0
6479,3,0.0,0.0,2.96233,160.70858,0.0
6506,3,0.0,0.0,3.04913,133.72075,0.0
6537,3,0.0,0.0,3.00281,511.0,0.0
6563,3,0.0,0.0,3.00344,460.46893,0.0
6744,3,0.0,0.0,2.95306,274.9216,0.0
6771,3,0.0,0.0,2.99811,325.70107,0.0
6814,3,0.0,0.0,2.95251,73.3774,0.0
6816,3,0.0,0.0,3.00516,511.0,0.0
6841,3,0.0,0.0,2.97186,368.65303,0.0
6902,3,0.0,0.0,2.98707,511.0,0.0
6923,3,0.0,0.0,2.96362,220.37076,0.0
6925,3,0.0,0.0,2.98602,244.06838,0.0
6943,3,0.0,0.0,3.01818,445.52975,0.0
6986,3,0.0,0.0,2.99521,511.0,0.0
7231,3,0.0,0.0,3.00222,511.0,0.0
7254,3,0.0,0.0,3.01021,225.71989,0.0
7267,3,0.0,0.0,2.95108,72.70147,0.0
7276,3,0.0,0.0,2.95578,249.08239,0.0
7281,3,0.0,0.0,2.98704,511.0,0.0
7345,3,0.0,0.0,3.01964,511.0,0.0
7403,3,0.0,0.0,2.99473,413.98529,0.0
7416,3,0.0,0.0,2.95641,70.95291,0.0
7429,3,0.0,0.0,2.95049,40.29986,0.0
7475,3,0.0,0.0,3.03259,278.51591,0.0
7636,3,0.0,0.0,2.99464,267.88997,0.0
7730,3,0.0,0.0,2.9514,113.93067,0.0
7745,3,0.0,0.0,2.98051,184.48027,0.0
7780,3,0.0,0.0,2.96981,428.6788,0.0
7782,3,0.0,0.0,2.96429,71.66644,0.0
7796,3,0.0,0.0,3.03484,17.32263,0.0
7818,3,0.0,0.0,2.97847,324.35772,0.0
7819,3,0.0,0.0,3.00814,490.31138,0.0
7843,3,0.0,0.0,3.03608,511.0,0.0
7852,3,0.0,0.0,2.99897,511.0,0.0
7872,3,0.0,0.0,2.98699,494.55065,0.0
7901,3,0.0,0.0,3.02084,246.18461,0.0
7906,3,0.0,0.0,3.02161,120.70727,0.0
7920,3,0.0,0.0,2.95761,496.256,0.0
7958,3,0.0,0.0,3.03301,511.0,0.0
7999,3,0.0,0.0,2.98102,511.0,0.0
8005,3,0.0,0.0,2.95985,220.05806,0.0
8015,3,0.0,0.0,3.0426,454.598,0.0
8036,3,0.0,0.0,3.01026,298.18704,0.0
8043,3,0.0,0.0,2.98032,293.625,0.0
8045,3,0.0,0.0,2.97852,301.80822,0.0
8062,3,0.0,0.0,3.04324,511.0,0.0
8124,3,0.0,0.0,3.03812,144.27741,0.0
8143,3,0.0,0.0,3.01459,259.96151,0.0
8162,3,0.0,0.0,2.9747,511.0,0.0
